Time_s,Time_min,Time_hr,Ambient_Temp_C,Milk_Temp_C,PCM_Temp_C,PCM_Phase_Fraction,PCM_Heat_Removal_W,Ambient_Heat_Influx_W,Cumulative_Heat_Removed_kJ,PCM_Available_Capacity_kJ,PCM_Remaining_Capacity_kJ,Milk_Volume_L,Milk_Mass_kg,Insulation_Thickness_mm,PCM_Mass_kg,Target_Temp_C,Cooling_Status,Model_Status
0,0,0,35,30,2,0,714,41.25,0,768,768,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
10,0.166666666666667,0.00277777777777778,35,29.9130282824685,3.23213606963606,0,680.362751427226,39.7098299129549,6.98730778648395,768,761.012692213516,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
20,0.333333333333333,0.00555555555555556,35,29.830154836461,4.40688360596439,0,648.293416377664,38.2413954925445,13.6453604387223,768,754.354639561278,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
30,0.5,0.00833333333333333,35,29.7508693372361,5,0.00425122020982975,631.147168099521,37.5,20.015157446448,768,747.984842553552,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
40,0.666666666666667,0.0111111111111111,35,29.6724219311852,5,0.0131545063460063,629.146759245222,37.5,26.3176220485804,768,741.68237795142,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
50,0.833333333333333,0.0138888888888889,35,29.5942231626844,5,0.0220311584278107,627.152690648452,37.5,32.6001111099337,768,735.399888890066,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
60,1,0.0166666666666667,35,29.5162722436818,5,0.0308812608713678,625.164942213886,37.5,38.8626879426015,768,729.137312057399,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
70,1.16666666666667,0.0194444444444444,35,29.4385683886232,5,0.0397048978252473,623.183493909892,37.5,45.1054156580111,768,722.894584341989,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
80,1.33333333333333,0.0222222222222222,35,29.3611108144441,5,0.0485021531713115,621.208325768325,37.5,51.3283571675593,768,716.671642832441,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
90,1.5,0.025,35,29.283898740562,5,0.0572731105255609,619.239417884331,37.5,57.5315751832464,768,710.468424816754,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
100,1.66666666666667,0.0277777777777778,35,29.2069313888684,5,0.0660178532389765,617.276750416145,37.5,63.7151322183081,768,704.284867781692,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
110,1.83333333333333,0.0305555555555556,35,29.1302079837211,5,0.0747364643983602,615.320303584888,37.5,69.8790905878458,768,698.120909412154,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
120,2,0.0333333333333333,35,29.0537277519361,5,0.0834290268271716,613.37005767437,37.5,76.0235124094544,768,691.976487590546,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
130,2.16666666666667,0.0361111111111111,35,28.9774899227801,5,0.092095623086363,611.425993030892,37.5,82.148459603848,768,685.851540396152,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
140,2.33333333333333,0.0388888888888889,35,28.9014937279626,5,0.100736335475212,609.488090063046,37.5,88.2539938954844,768,679.746006104516,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
150,2.5,0.0416666666666667,35,28.8257384016282,5,0.109351246032148,607.55632924152,37.5,94.340176813187,768,673.659823186813,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
160,2.66666666666667,0.0444444444444444,35,28.7502231803489,5,0.117940436535585,605.630691098898,37.5,100.407069690764,768,667.592930309236,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
170,2.83333333333333,0.0472222222222222,35,28.6749473031164,5,0.126503988504738,603.711156229467,37.5,106.454733667629,768,661.545266332371,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
180,3,0.05,35,28.5999100113341,5,0.135041983200451,601.79770528902,37.5,112.483229689414,768,655.516770310586,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
190,3.16666666666667,0.0527777777777778,35,28.5251105488102,5,0.143554501626012,599.890318994661,37.5,118.492618508585,768,649.507381491415,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
200,3.33333333333333,0.0555555555555556,35,28.4505481617494,5,0.152041624527971,597.988978124609,37.5,124.482960685054,768,643.517039314946,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
210,3.5,0.0583333333333333,35,28.3762220987454,5,0.160503432396954,596.093663518008,37.5,130.454316586791,768,637.545683413209,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
220,3.66666666666667,0.0611111111111111,35,28.3021316107738,5,0.168940005468472,594.204356074732,37.5,136.40674639043,768,631.59325360957,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
230,3.83333333333333,0.0638888888888889,35,28.228275951184,5,0.177351423723733,592.321036755192,37.5,142.340310081875,768,625.659689918125,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
240,4,0.0666666666666667,35,28.1546543756919,5,0.185737766890444,590.443686580144,37.5,148.255067456908,768,619.744932543092,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
250,4.16666666666667,0.0694444444444444,35,28.0812661423725,5,0.194099114443618,588.5722866305,37.5,154.151078121789,768,613.848921878211,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
260,4.33333333333333,0.0722222222222222,35,28.0081105116523,5,0.202435545606373,586.706818047133,37.5,160.028401493855,768,607.971598506145,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
270,4.5,0.075,35,27.9351867463016,5,0.210747139350731,584.847262030692,37.5,165.887096802124,768,602.112903197876,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
280,4.66666666666667,0.0777777777777778,35,27.8624941114278,5,0.219033974398415,582.993599841409,37.5,171.727223087887,768,596.272776912113,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
290,4.83333333333333,0.0805555555555556,35,27.7900318744672,5,0.227296129221637,581.145812798914,37.5,177.548839205303,768,590.451160794697,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
300,5,0.0833333333333333,35,27.717799305178,5,0.235533682043898,579.303882282039,37.5,183.352003821999,768,584.647996178001,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
310,5.16666666666667,0.0861111111111111,35,27.6457956756329,5,0.243746710840767,577.467789728639,37.5,189.136775419651,768,578.863224580349,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
320,5.33333333333333,0.0888888888888889,35,27.5740202602118,5,0.251935293340673,575.637516635402,37.5,194.90321229458,768,573.09678770542,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
330,5.5,0.0916666666666667,35,27.5024723355945,5,0.260099507025685,573.813044557658,37.5,200.65137255834,768,567.34862744166,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
340,5.66666666666667,0.0944444444444444,35,27.431151180753,5,0.268239429132297,571.994355109203,37.5,206.381314138298,768,561.618685861702,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
350,5.83333333333333,0.0972222222222222,35,27.3600560769451,5,0.276355136652199,570.181429962101,37.5,212.093094778225,768,555.906905221775,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
360,6,0.1,35,27.2891863077063,5,0.28444670633306,568.374250846512,37.5,217.786772038871,768,550.213227961129,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
370,6.16666666666667,0.102777777777778,35,27.218541158843,5,0.292514214679299,566.572799550497,37.5,223.46240329855,768,544.53759670145,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
380,6.33333333333333,0.105555555555556,35,27.1481199184252,5,0.300557737952855,564.777057919843,37.5,229.120045753717,768,538.879954246283,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
390,6.5,0.108333333333333,35,27.0779218767794,5,0.308577352173955,562.987007857874,37.5,234.759756419542,768,533.240243580458,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
400,6.66666666666667,0.111111111111111,35,27.0079463264813,5,0.316573133121884,561.202631325274,37.5,240.381592130489,768,527.618407869511,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
410,6.83333333333333,0.113888888888889,35,26.9381925623489,5,0.324545156335744,559.423910339898,37.5,245.985609540883,768,522.014390459116,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
420,7,0.116666666666667,35,26.8686598814353,5,0.332493497115217,557.650826976599,37.5,251.571865125489,768,516.428134874511,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
430,7.16666666666667,0.119444444444444,35,26.7993475830212,5,0.340418230521327,555.883363367042,37.5,257.140415180071,768,510.859584819929,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
440,7.33333333333333,0.122222222222222,35,26.7302549686088,5,0.348319431377189,554.121501699524,37.5,262.691315821968,768,505.308684178032,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
450,7.5,0.125,35,26.6613813419137,5,0.356197174268772,552.365224218798,37.5,268.224622990655,768,499.775377009345,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
460,7.66666666666667,0.127777777777778,35,26.5927260088585,5,0.364051533545644,550.614513225891,37.5,273.740392448308,768,494.259607551692,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
470,7.83333333333333,0.130555555555556,35,26.5242882775657,5,0.371882583321723,548.869351077926,37.5,279.238679780368,768,488.761320219632,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
480,8,0.133333333333333,35,26.4560674583508,5,0.379690397476025,547.129720187945,37.5,284.719540396094,768,483.280459603906,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
490,8.16666666666667,0.136111111111111,35,26.388062863715,5,0.387475049653408,545.395603024733,37.5,290.183029529132,768,477.816970470868,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
500,8.33333333333333,0.138888888888889,35,26.3202738083388,5,0.395236613265315,543.666982112638,37.5,295.629202238062,768,472.370797761938,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
510,8.5,0.141666666666667,35,26.2526996090744,5,0.40297516149051,541.943840031398,37.5,301.058113406959,768,466.941886593041,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
520,8.66666666666667,0.144444444444444,35,26.1853395849397,5,0.410690767275822,540.226159415963,37.5,306.469817745942,768,461.530182254058,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
530,8.83333333333333,0.147222222222222,35,26.1181930571106,5,0.418383503336874,538.513922956321,37.5,311.864369791731,768,456.135630208269,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
540,9,0.15,35,26.0512593489147,5,0.426053442158818,536.807113397326,37.5,317.241823908189,768,450.758176091811,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
550,9.16666666666667,0.152777777777778,35,25.9845377858243,5,0.433700655997067,535.105713538519,37.5,322.602234286876,768,445.397765713124,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
560,9.33333333333333,0.155555555555556,35,25.9180276954494,5,0.441325216878022,533.40970623396,37.5,327.945654947592,768,440.054345052408,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
570,9.5,0.158333333333333,35,25.8517284075314,5,0.448927196599796,531.719074392052,37.5,333.272139738923,768,434.727860261077,20,20.6,20,3,5,WARM INITIAL,PCM CAPACITY INSUFFICIENT
